NINDEX,sta,ngroups,elev,lat,lon,descr,lddate,DNORTH,DEAST,REFSTA,STANAME,COD,STATYPE,UNDERGROUND,ONDATE,OFFDATE
336,VOSZ,2,450,52.723201751708984,70.97969818115234,NULL,"2004-07-08 09:56:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,WRA,1,245,-19.95,134.35,"Warramunga array",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,YA1,1,110,63.029998779296875,129.67999267578125,NULL,"1999-10-13 07:05:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,YA2,2,686.5399780273438,58.599998474121094,125.38999938964844,NULL,"2000-10-03 09:08:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,YA3,2,705.0700073242188,56.84000015258789,124.88999938964844,NULL,"2000-10-03 09:10:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,YA4,2,175.57000732421875,60.41999816894531,134.5399932861328,NULL,"2000-10-03 09:11:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,YAK,4,105,62.02,129.720001,??????,"2012-02-13 06:08:00",0,0,,,,NULL,,NULL,NULL
285,YFT,2,2292,44.45130157470703,-110.83599853515625,NULL,"2002-11-28 16:35:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
276,YHH,1,2717,44.788299560546875,-110.85050201416016,NULL,"2002-11-28 13:11:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,YS1,5,100,46.97,142.77,????-?????????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,YSS,4,100,46.97,142.77,????-?????????,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,ZAK,1,1200,50.383399963378906,103.28340148925781,NULL,"1998-09-02 10:17:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,ZAL,1,0.21299999952316284,53.93669891357422,84.79810333251953,NULL,"2000-10-31 12:48:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,ZEI,1,218.279999,42.778,43.901001,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
302,ZRN,1,384,52.95100021362305,69,NULL,"2003-06-16 13:46:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
324,ZRNK,1,384,52.950801849365234,69.00430297851562,NULL,"2004-03-01 10:27:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
327,ZRNZ,2,384,52.950801849365234,69.00430297851562,NULL,"2004-07-08 09:57:00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
403,ZYR5,1,0,45,45,,"2012-07-03 12:27:00",0,0,,,,NULL,,2012-07-03,NULL
404,ZYR6,1,0,45,45,,"2012-07-03 12:27:00",0,0,,,,NULL,,2012-07-03,NULL
405,ZYR7,1,0,45,45,,"2012-07-03 12:28:00",0,0,,,,NULL,,2012-07-03,NULL
